edge_id,source_node_id,target_node_id,relation_type,edge_status,edge_weight,confidence_score,weight_basis,reason
edge_0000001,cat::behavioral_patterns_and_preferences,subcat::behavioral_patterns_and_preferences::behavioral_patterns_and_preferences,has_subcategory,schema_edge,2.3035,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000002,cat::behavioral_patterns_and_preferences,subcat::behavioral_patterns_and_preferences::interests_and_preferences,has_subcategory,schema_edge,1.0486,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000003,cat::behavioral_patterns_and_preferences,subcat::behavioral_patterns_and_preferences::interests_and_topics,has_subcategory,schema_edge,0.631,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000004,cat::behavioral_patterns_and_preferences,subcat::behavioral_patterns_and_preferences::sociodemographic_behavior,has_subcategory,schema_edge,1.5552,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000005,cat::cognitive_and_capability_profile,subcat::cognitive_and_capability_profile::cognitive_and_capability_profile,has_subcategory,schema_edge,2.329,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000006,cat::cognitive_and_capability_profile,subcat::cognitive_and_capability_profile::education_language_and_field_of_training,has_subcategory,schema_edge,1.1675,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000007,cat::cognitive_and_capability_profile,subcat::cognitive_and_capability_profile::need_for_cognition,has_subcategory,schema_edge,0.631,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000008,cat::cognitive_and_capability_profile,subcat::cognitive_and_capability_profile::skills_and_expertise,has_subcategory,schema_edge,0.7662,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000009,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::core_demographics_race_ethnicity_citizenship_nativity_and_ancestry,has_subcategory,schema_edge,1.3444,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000010,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::demographic_information,has_subcategory,schema_edge,1.255,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000011,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::demographic_variables,has_subcategory,schema_edge,2.5,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000012,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::geographic_anchoring,has_subcategory,schema_edge,0.9365,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000013,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::household_composition_and_household_language,has_subcategory,schema_edge,1.2283,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
edge_0000014,cat::demographics_and_population_grounding,subcat::demographics_and_population_grounding::nemotron_demographic_and_geographic_fields,has_subcategory,schema_edge,1.0486,1.0,"category-subcategory structural edge, log scaled by subcategory size",category hierarchy
