mapping_candidate_id,extended_candidate_id,extended_source,extended_label,extended_category,canonical_attribute_id,canonical_label,canonical_category,heuristic_score,proposed_mapping_weight,weight_basis,shared_token_count,llm_status
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_02_it,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_02_it_often_feels_like_events__2024a57898,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #02: It often feels like events are happening in order to help me in some way.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_02_it_often_feels_like_events_are_happen__05c0d2d18c,Primal belief #02: It often feels like events are happening in order to help me in some way.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,12,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_05_wh,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_05_while_some_things_are_wort__c09b8bea93,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #05: While some things are worth exploring, most things aren't worth the effort.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_05_while_some_things_are_worth_exploring__5670181b26,"Primal belief #05: While some things are worth exploring, most things aren't worth the effort.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,11,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_09_th,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_09_the_world_is_a_somewhat_du__f9f3182aa3,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #09: The world is a somewhat dull place where plenty of things are not interesting.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_09_the_world_is_a_somewhat_dull_place_wh__2420a56a1b,Primal belief #09: The world is a somewhat dull place where plenty of things are not interesting.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,11,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_18_no,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_18_no_matter_where_we_are_inc__9866cf70c2,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #18: No matter where we are, incredible beauty is always around us.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_18_no_matter_where_we_are_incredible_bea__4e09252462,"Primal belief #18: No matter where we are, incredible beauty is always around us.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,11,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_01_in,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_01_in_life_there_s_way_more_b__94905e295d,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #01: In life, there's way more beauty than ugliness.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_01_in_life_there_s_way_more_beauty_than__363bfbc6ee,"Primal belief #01: In life, there's way more beauty than ugliness.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,10,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_11_in,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_11_instead_of_cooperative_the__a5c7fbcfa2,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),"Primal belief #11: Instead of cooperative, the world is a cut-throat and competitive place.",Demographics & Population Grounding,attr_demographics_and_population__primal_belief_11_instead_of_cooperative_the_world_is_a__5f85bcbaf4,"Primal belief #11: Instead of cooperative, the world is a cut-throat and competitive place.",Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,10,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_12_ev,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_12_events_seem_to_lack_any_co__589d59b0b4,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #12: Events seem to lack any cosmic or bigger purpose.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_12_events_seem_to_lack_any_cosmic_or_big__12fe6ab3cd,Primal belief #12: Events seem to lack any cosmic or bigger purpose.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,10,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_17_mo,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_17_most_things_and_situations__c8597df292,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #17: Most things and situations are harmless and totally safe.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_17_most_things_and_situations_are_harmle__e56ddc1eea,Primal belief #17: Most things and situations are harmless and totally safe.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,9,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_03_i,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_03_i_tend_to_see_the_world_as__db0f3f3ecf,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #03: I tend to see the world as pretty safe.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_03_i_tend_to_see_the_world_as_pretty_saf__92a5bc3222,Primal belief #03: I tend to see the world as pretty safe.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,8,needs_llm_mapping_adjudication
map_deeppersona_auto_extract_psychographic_ap_psy_primal__attr_demographics_and_population_primal_belief_06_mo,deeppersona_auto_extract__psychographic_ap_psy_primal_belief_06_most_things_in_life_are_ki__de20e31eae,DeepPersona auto-extracted local proposal (proposed_new_dimensions_ATTRLEVEL.json),Primal belief #06: Most things in life are kind of boring.,Demographics & Population Grounding,attr_demographics_and_population__primal_belief_06_most_things_in_life_are_kind_of_borin__90f6093447,Primal belief #06: Most things in life are kind of boring.,Demographics & Population Grounding,1.0,0.72,candidate-to-canonical mapping similarity; replace with LLM confidence after adjudication,8,needs_llm_mapping_adjudication
