pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,llm_provider,llm_model,final_merge_confidence
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__176261d0f9e0,attr_life_context_and_constraints__how_many_yrs_r_been_a_member_of_fraternal_groups1__4fa14042c6,attr_life_context_and_constraints__how_many_yrs_r_been_a_member_of_fraternal_groups2__faf8745114,how many yrs r been a member of fraternal groups1,how many yrs r been a member of fraternal groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9614,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9301,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.5063
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__1340dc78005c,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_service_club1__9f94973f28,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_service_club2__f761ad3eef,how many years r been a member of service club1,how many years r been a member of service club2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9437,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.9201,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.5009
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__cc71cde59b39,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__608868606e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__a79705fdab,how many years r born a member of professional society2,how many years r born a member of professional society6,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9421,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.92,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.5008
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__d56d9a50c575,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_sports_groups4__c9a4e039dd,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_sports_groups6__ec306b861c,how many years r born a member of sports groups4,how many years r born a member of sports groups6,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9428,0.9792,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9792,0.9198,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.5007
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__e1d876d4f8e9,attr_life_context_and_constraints__hobby_club1_meets_in_this_area__c91729a013,attr_life_context_and_constraints__hobby_club2_meets_in_this_area__b0dd4ee81c,hobby club1 meets in this area,hobby club2 meets in this area,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.945,0.9667,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9667,0.9178,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4994
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__a3d2a887cb23,attr_life_context_and_constraints__hours_per_week_using_work_computer_job__7d74520a35,attr_life_context_and_constraints__hours_per_week_using_work_computer_make_money__ecbe0c402a,hours per week using work computer job,hours per week using work computer make money,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9137,0.8675,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8758,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4752
pair_attr_demographics_and_population_age__attr_demographics_and_population_age__7b5fd4476deb,attr_demographics_and_population__age_of_fifth_person_in_household_screening_if_applicab__404df451b2,attr_demographics_and_population__age_of_seventh_person_in_household_screening_if_applic__30e4934b3a,age of fifth person in household screening (if applicable),age of seventh person in household screening (if applicable),Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.884,0.9322,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9322,0.8757,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.476
pair_attr_demographics_and_population_rac__attr_demographics_and_population_rac__5a5da32de163,attr_demographics_and_population__race_of_household__f1835cb3f9,attr_demographics_and_population__race_of_respondent__2a5586a690,race of household,race of respondent,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8532,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8757,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4769
pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__93c61fc0f4ad,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group2__4b7e2b8c1c,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group3__5e8b6fd264,how many years r born a member of church group2,how many years r born a member of church group3,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.9536,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8756,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.5038
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__581ccff9e936,attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_parent__b69663ad07,attr_life_context_and_constraints__how_often_r_contacts_their_most_contacted_sibling__fa29842661,how often r contacts their most-contacted parent,how often r contacts their most-contacted sibling,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9044,0.8866,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8755,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4753
pair_attr_life_context_and_constraints_2n__attr_life_context_and_constraints_2n__7180b3559746,attr_life_context_and_constraints__2nd_mention_what_nervous_breakdown_is_imputed__773ba9e5cb,attr_life_context_and_constraints__2nd_mention_what_nervous_breakdown_is_symptoms__eae103a05b,"2nd mention, what nervous breakdown is, imputed","2nd mention, what nervous breakdown is, symptoms",Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8958,0.9053,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8754,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4755
pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__4f242b012508,attr_life_context_and_constraints__does_r_supervise_others_at_work__953ebee8c9,attr_life_context_and_constraints__does_r_supervise_others_at_work_in_main_job__058f0e6a90,does r supervise others at work,does r supervise others at work in main job,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9262,0.8378,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8753,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4745
pair_attr_life_context_and_constraints_he__attr_life_context_and_constraints_pr__302729f444e8,attr_life_context_and_constraints__health_insurance_coverage_recode__811c65f02c,attr_life_context_and_constraints__private_health_insurance_coverage_recode__2e62116811,Health insurance coverage recode,Private health insurance coverage recode,Life Context & Constraints,Life Context & Constraints,health insurance disability and functional difficulty,health insurance disability and functional difficulty,0.9031,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8753,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4752
pair_attr_worldview_beliefs_and_attitu_at__attr_worldview_beliefs_and_attitu_at__3a90b4777d69,attr_worldview_beliefs_and_attitu__attended_religious_services_last_monday__8710cb8320,attr_worldview_beliefs_and_attitu__attended_religious_services_last_wednesday__96dbeb8236,attended religious services last monday,attended religious services last wednesday,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.9485,0.9136,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8565,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4925
pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_1s__1ae08a1f691d,attr_life_context_and_constraints__1st_mention_what_mental_illness_is_imputed__841a18d004,attr_life_context_and_constraints__1st_mention_what_mental_illness_is_symptoms__a4dcd0e060,"1st mention, what mental illness is, imputed","1st mention, what mental illness is, symptoms",Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8643,0.8989,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8565,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4651
pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__f70e7e268697,attr_life_context_and_constraints__r_belongs_to_more_than_one_other_groups__4a1020df7c,attr_life_context_and_constraints__r_belongs_to_more_than_one_veterans_groups__ac082f8398,r belongs to more than one other groups,r belongs to more than one veterans groups,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8576,0.9136,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.7143,0.8565,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4653
pair_attr_demographics_and_population_oth__attr_demographics_and_population_oth__0c3515badd41,attr_demographics_and_population__other_languages_at_home_selected_choice_german__606719b8a4,attr_demographics_and_population__other_languages_at_home_selected_choice_spanish__3a8b1aca56,Other languages at home - Selected Choice - German,Other languages at home - Selected Choice - Spanish,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.9129,0.9109,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8564,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4616
pair_attr_life_context_and_constraints_ti__attr_life_context_and_constraints_ti__a731d1bcb427,attr_life_context_and_constraints__time_of_arrival_at_work_hour_and_minute__b5ad0d976f,attr_life_context_and_constraints__time_of_departure_for_work_hour_and_minute__4d8692af55,Time of arrival at work - hour and minute,Time of departure for work - hour and minute,Life Context & Constraints,Life Context & Constraints,commute and labor force access,commute and labor force access,0.8983,0.8235,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8564,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.464
pair_attr_demographics_and_population_fat__attr_demographics_and_population_mot__f06ec228e852,attr_demographics_and_population__father_s_or_oldest_same_sex_parent_s_occupational_pres__4c2725806d,attr_demographics_and_population__mother_s_or_youngest_same_sex_parent_s_occupational_pr__40bc7db658,father's (or oldest same-sex parent's) occupational prestige score using thresho,mother's (or youngest same-sex parent's) occupational prestige score using thres,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8522,0.925,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.925,0.8564,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4654
pair_attr_demographics_and_population_is__attr_demographics_and_population_is__7e8ff8fcadea,attr_demographics_and_population__is_3rd_person_staying_somewhere_else_now__cfc75052e5,attr_demographics_and_population__is_6th_person_staying_somewhere_else_now__b47ba4fbe3,is 3rd person staying somewhere else now?,is 6th person staying somewhere else now?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8514,0.9268,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9268,0.8564,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4654
pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__02ff75b6cbb6,attr_worldview_beliefs_and_attitu__number_of_non_church_attendee_in_voluntary_association__7e8d7cf63c,attr_worldview_beliefs_and_attitu__number_of_regular_church_attendee_in_voluntary_associa__40548a6673,number of non church attendee in voluntary association,number of regular church attendee in voluntary association,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.9494,0.9107,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8563,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4924
pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_x__4f0cec1c8b88,attr_life_context_and_constraints__what_x_should_do_go_to_spiritual_healer__564af100de,attr_life_context_and_constraints__x_should_go_to_spiritual_healer_for_help__95b4f4290d,what x should do: go to spiritual healer,x should go to spiritual healer for help,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9087,0.8,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8562,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4635
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__105d71a6489a,attr_life_context_and_constraints__hours_per_week_using_work_computer_make_money__ecbe0c402a,attr_life_context_and_constraints__hours_per_week_using_work_computer_personal_int__4583b4f687,hours per week using work computer make money,hours per week using work computer personal int,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8969,0.8261,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8562,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4639
pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__65e7aaa101a2,attr_life_context_and_constraints__minutes_per_week_using_work_computer_hsehld_mng__073cb1ce72,attr_life_context_and_constraints__minutes_per_week_using_work_computer_make_money__63a2d24380,minutes per week using work computer hsehld mng,minutes per week using work computer make money,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8758,0.8723,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8562,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4645
pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__65d04414370c,attr_life_context_and_constraints__minutes_per_week_using_work_computer_email__36f2446b95,attr_life_context_and_constraints__minutes_per_week_using_work_computer_make_money__63a2d24380,minutes per week using work computer email,minutes per week using work computer make money,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.874,0.8764,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8562,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4646
pair_attr_worldview_beliefs_and_attitu_pr__attr_worldview_beliefs_and_attitu_pr__eb0d9769e736,attr_worldview_beliefs_and_attitu__protestant_identification_1st_mention__44e03e94a7,attr_worldview_beliefs_and_attitu__protestant_identification_2nd_mention__2a04f785b6,protestant identification 1st mention,protestant identification 2nd mention,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.9453,0.9189,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.8561,not_related,unsure,none,0,,openai,gpt-4.1-mini,0.4924
pair_attr_demographics_and_population_oth__attr_demographics_and_population_oth__fdec76c38c66,attr_demographics_and_population__other_languages_at_home_selected_choice_italian__41735167a4,attr_demographics_and_population__other_languages_at_home_selected_choice_korean__d58a17f2f1,Other languages at home - Selected Choice - Italian,Other languages at home - Selected Choice - Korean,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8497,0.9109,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8217,not_related,keep_separate,none,0.9,Different language choices at home; mutually exclusive.,openai,gpt-4.1-mini,0.8476
pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_x__81ce5c4cbb3c,attr_life_context_and_constraints__what_x_should_do_go_to_doctor__389f2de80f,attr_life_context_and_constraints__x_should_go_to_general_medical_doctor_for_help__543c3169a3,what x should do: go to doctor,x should go to general medical doctor for help,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8679,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8213,alias_of,merge,symmetric,0.9,Both attributes describe same action with different wording.,openai,gpt-4.1-mini,0.8488
pair_attr_demographics_and_population_cho__attr_demographics_and_population_cho__f25658f65b8a,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__15a35f5473,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__17b768637d,Choose one or more races that you consider yourself to be - Prefer not to say,Choose one or more races that you consider yourself to be - Asian,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8541,0.8592,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8112,not_related,keep_separate,none,0.9,Prefer not to say race vs Asian race are distinct and not related.,openai,gpt-4.1-mini,0.8412
pair_attr_demographics_and_population_cho__attr_demographics_and_population_cho__d6ef4003970d,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__2fea550983,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__f598ed8d7c,Choose one or more races that you consider yourself to be - Other,Choose one or more races that you consider yourself to be - White or Caucasian,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8441,0.8811,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8112,not_related,keep_separate,none,0.9,Other race vs White or Caucasian are distinct categories.,openai,gpt-4.1-mini,0.8415
pair_attr_demographics_and_population_man__attr_demographics_and_population_wor__b0bd6e8f6fce,attr_demographics_and_population__management_and_workers_always_in_conflict__65eefa0a3a,attr_demographics_and_population__workers_and_management_in_conflict__0c0221c4eb,management & workers always in conflict,workers and management in conflict?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8484,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8105,duplicate_of,merge,symmetric,0.9,Management & workers always in conflict vs workers and management in conflict measure same construct.,openai,gpt-4.1-mini,0.843
pair_attr_demographics_and_population_hom__attr_demographics_and_population_sex__97dd66a67f96,attr_demographics_and_population__homosexual_sex_relations__9efd19ad8b,attr_demographics_and_population__sex__c69d66dadc,homosexual sex relations,Sex,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,core demographics race ethnicity citizenship nativity and ancestry,0.7057,1.0,0.7891,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8065,not_related,keep_separate,none,0.9,"Homosexual sex relations and sex (gender) are distinct constructs, not related.",openai,gpt-4.1-mini,0.8456
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_nu__cc242f9e10b1,attr_life_context_and_constraints__hours_r_usually_works__416ff1bc22,attr_life_context_and_constraints__number_of_hours_usually_work_a_week__f58dd1c544,hours r usually works,number of hours usually work a week,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8401,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.806,duplicate_of,merge,symmetric,0.9,Both measure hours usually worked per week; same construct despite lexical variation.,openai,gpt-4.1-mini,0.8405
pair_attr_personality_traits_jump_into_th__attr_personality_traits_jump_into_th__ab17953af023,attr_personality_traits__jump_into_things__61569aacce,attr_personality_traits__jump_into_things_without_thinking__cf7eeb8338,Jump into things.,Jump into things without thinking.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8394,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8056,alias_of,merge,symmetric,0.9,Both measure impulsive behavior of jumping into things without thinking; same construct.,openai,gpt-4.1-mini,0.8403
