source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
merged_attr_9562107bde26,attr_life_context_and_constraints__spouse_s_occupational_prestige_score_1970__738caadc9c,respondent's occupational prestige score(1970),spouse's occupational prestige score (1970),related_but_distinct,0.551,0.95,2,"[""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__e557fb698b06"", ""pair_attr_life_context_and_constraints_re__attr_life_context_and_constraints_sp__34e6410a8d7b""]"
attr_domain_specific_overlays__respondent_s_kids_living_standard_compared_to_r_no_vol__94972952af,attr_domain_specific_overlays__respondent_s_kids_living_standard_compared_to_r_with_v__b2ff981ca6,respondent's kids living standard compared to r (no volunteered response on web),respondent's kids living standard compared to r (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_respon__attr_domain_specific_overlays_respon__e0d52086afb0""]"
attr_domain_specific_overlays__people_helpful_or_looking_out_for_selves_no_volunteere__a0d3738a7e,attr_domain_specific_overlays__people_helpful_or_looking_out_for_selves_with_voluntee__026ad8c642,people helpful or looking out for selves (no volunteered response on web),people helpful or looking out for selves (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_people__attr_domain_specific_overlays_people__88a3b2824443""]"
merged_attr_7cf299a4b59b,attr_domain_specific_overlays__should_marijuana_be_made_legal_with_volunteered_respon__f52ce28b66,should marijuana be made legal,should marijuana be made legal (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_should__attr_domain_specific_overlays_should__d339c0d9211f""]"
attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,Public assistance income past 12 months (use ADJINC to adjust to constant dollars),Retirement income past 12 months (use ADJINC to adjust to constant dollars),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_pu__attr_life_context_and_constraints_re__73589076eea6""]"
merged_attr_9e26ee972214,attr_domain_specific_overlays__bible_prayer_in_public_schools_with_volunteered_respon__c9c1029aa1,bible prayer in public schools,bible prayer in public schools (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_bible__attr_domain_specific_overlays_bible__fdcaa9c79301""]"
attr_cognitive_and_capability_pro__field_of_degree_science_and_engineering_flag_nsf_defin__d8da4e0445,attr_cognitive_and_capability_pro__field_of_degree_science_and_engineering_related_flag_n__cefae1a302,Field of Degree Science and Engineering Flag - NSF Definition,Field of Degree Science and Engineering Related Flag - NSF Definition,related_but_distinct,0.493,0.85,1,"[""pair_attr_cognitive_and_capability_pro_fi__attr_cognitive_and_capability_pro_fi__fb691d067110""]"
attr_life_context_and_constraints__father_s_occupational_prestige_score_1970__4f65483788,merged_attr_9562107bde26,father's occupational prestige score (1970),respondent's occupational prestige score(1970),related_but_distinct,0.551,0.95,1,"[""pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__8ea0232b377b""]"
attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__450c911304,merged_attr_0babde0e9e74,x should be admitted to be hospitalized for treatment if dangerous to others,x should be forced to go to mental hospital by law,conflicts_with,0.738,0.9,1,"[""pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__fd415984c861""]"
attr_life_context_and_constraints__vote_on_open_housing_law_no_volunteered_response_on_we__fcdc7cf4f4,attr_life_context_and_constraints__vote_on_open_housing_law_with_volunteered_response_on__34023b287e,vote on open housing law (no volunteered response on web),vote on open housing law (with volunteered response on web),related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_vo__attr_life_context_and_constraints_vo__9a298590d095""]"
