final_attribute_id,member_attribute_id,member_label,is_representative,member_rank,member_source_count,member_quality_score
attr_behavioral_patterns_and_pref__accused_of_crime__2c6fe2df69,attr_behavioral_patterns_and_pref__accused_of_crime__2c6fe2df69,accused of crime,true,0,1,90
attr_behavioral_patterns_and_pref__agree_sports_makes_me_proud_to_be_an_american__acbfe0df87,attr_behavioral_patterns_and_pref__agree_sports_makes_me_proud_to_be_an_american__acbfe0df87,agree sports makes me proud to be an american,true,0,1,90
attr_behavioral_patterns_and_pref__alcohol_use__e73c5fdff0,attr_behavioral_patterns_and_pref__alcohol_use__e73c5fdff0,Alcohol use,true,0,1,72
attr_behavioral_patterns_and_pref__arts_persona__1c2f15f309,attr_behavioral_patterns_and_pref__arts_persona__1c2f15f309,Arts Persona,true,0,1,80
attr_behavioral_patterns_and_pref__attended_sports_event_in_lst_yr__30281c923b,attr_behavioral_patterns_and_pref__attended_sports_event_in_lst_yr__30281c923b,attended sports event in lst yr,true,0,1,90
attr_behavioral_patterns_and_pref__attended_with_spouse_or_partner__c302a39343,attr_behavioral_patterns_and_pref__attended_with_spouse_or_partner__c302a39343,attended with spouse or partner,true,0,1,90
attr_behavioral_patterns_and_pref__big_group_vs_one_on_one__01ce1787d5,attr_behavioral_patterns_and_pref__big_group_vs_one_on_one__01ce1787d5,Big group vs one-on-one,true,0,1,72
attr_behavioral_patterns_and_pref__books_travel_writing__3783119bd1,attr_behavioral_patterns_and_pref__books_travel_writing__3783119bd1,Books: Travel writing,true,0,1,72
attr_behavioral_patterns_and_pref__brief_vs_full_detail__0eaf1b4c8c,attr_behavioral_patterns_and_pref__brief_vs_full_detail__0eaf1b4c8c,Brief vs full detail,true,0,1,72
merged_attr_618f98a104b8,attr_behavioral_patterns_and_pref__can_r_give_the_name_of_a_web_browser__ccf38f89e0,can r give the name of a web browser,false,0,1,90
merged_attr_618f98a104b8,attr_behavioral_patterns_and_pref__r_specify_name_of_web_browser__59715b285e,r specify name of web browser,true,1,1,90
attr_behavioral_patterns_and_pref__car_trip_in_the_past_12_months__7568a6392d,attr_behavioral_patterns_and_pref__car_trip_in_the_past_12_months__7568a6392d,car trip in the past 12 months,true,0,1,90
attr_behavioral_patterns_and_pref__choice_what_to_do_in_life_important_for_freedom__1e192166a6,attr_behavioral_patterns_and_pref__choice_what_to_do_in_life_important_for_freedom__1e192166a6,choice what to do in life important for freedom,true,0,1,90
attr_behavioral_patterns_and_pref__competition_vs_collaboration__837952010b,attr_behavioral_patterns_and_pref__competition_vs_collaboration__837952010b,Competition vs collaboration,true,0,1,72
attr_behavioral_patterns_and_pref__control_r_feels_over_own_life__e4495d39a4,attr_behavioral_patterns_and_pref__control_r_feels_over_own_life__e4495d39a4,control r feels over own life,true,0,1,90
attr_behavioral_patterns_and_pref__cooking_frequency__d1c44c7cdf,attr_behavioral_patterns_and_pref__cooking_frequency__d1c44c7cdf,Cooking frequency,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_american_bbq__1d4d2a6897,attr_behavioral_patterns_and_pref__cuisine_american_bbq__1d4d2a6897,Cuisine: American BBQ,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_brazilian__c3e740420e,attr_behavioral_patterns_and_pref__cuisine_brazilian__c3e740420e,Cuisine: Brazilian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_cajun__3f13e57a55,attr_behavioral_patterns_and_pref__cuisine_cajun__3f13e57a55,Cuisine: Cajun,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_cantonese__85ea7c25a6,attr_behavioral_patterns_and_pref__cuisine_cantonese__85ea7c25a6,Cuisine: Cantonese,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_caribbean__a469da38c6,attr_behavioral_patterns_and_pref__cuisine_caribbean__a469da38c6,Cuisine: Caribbean,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_chinese__fc918b4ba9,attr_behavioral_patterns_and_pref__cuisine_chinese__fc918b4ba9,Cuisine: Chinese,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_ethiopian__d170c4dc9d,attr_behavioral_patterns_and_pref__cuisine_ethiopian__d170c4dc9d,Cuisine: Ethiopian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_french__e5dcdd92d0,attr_behavioral_patterns_and_pref__cuisine_french__e5dcdd92d0,Cuisine: French,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_german__0de5220822,attr_behavioral_patterns_and_pref__cuisine_german__0de5220822,Cuisine: German,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_greek__507176b47f,attr_behavioral_patterns_and_pref__cuisine_greek__507176b47f,Cuisine: Greek,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_indian__aff6fe27c5,attr_behavioral_patterns_and_pref__cuisine_indian__aff6fe27c5,Cuisine: Indian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_italian__2a54de3d58,attr_behavioral_patterns_and_pref__cuisine_italian__2a54de3d58,Cuisine: Italian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_japanese__d8ee19ba27,attr_behavioral_patterns_and_pref__cuisine_japanese__d8ee19ba27,Cuisine: Japanese,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_korean__7404d01c2a,attr_behavioral_patterns_and_pref__cuisine_korean__7404d01c2a,Cuisine: Korean,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_lebanese__ed587cd77c,attr_behavioral_patterns_and_pref__cuisine_lebanese__ed587cd77c,Cuisine: Lebanese,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_mexican__49a7a7d569,attr_behavioral_patterns_and_pref__cuisine_mexican__49a7a7d569,Cuisine: Mexican,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_middle_eastern__ae9623c65b,attr_behavioral_patterns_and_pref__cuisine_middle_eastern__ae9623c65b,Cuisine: Middle Eastern,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_moroccan__c2f4b81283,attr_behavioral_patterns_and_pref__cuisine_moroccan__c2f4b81283,Cuisine: Moroccan,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_nigerian__7d84b9b6b9,attr_behavioral_patterns_and_pref__cuisine_nigerian__7d84b9b6b9,Cuisine: Nigerian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_pakistani__46c7f10d8b,attr_behavioral_patterns_and_pref__cuisine_pakistani__46c7f10d8b,Cuisine: Pakistani,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_peruvian__afc54e0bf6,attr_behavioral_patterns_and_pref__cuisine_peruvian__afc54e0bf6,Cuisine: Peruvian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_ramen__5e9893d11b,attr_behavioral_patterns_and_pref__cuisine_ramen__5e9893d11b,Cuisine: Ramen,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_russian__08e7182429,attr_behavioral_patterns_and_pref__cuisine_russian__08e7182429,Cuisine: Russian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_scandinavian__1292d39a06,attr_behavioral_patterns_and_pref__cuisine_scandinavian__1292d39a06,Cuisine: Scandinavian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_seafood__2379799ebe,attr_behavioral_patterns_and_pref__cuisine_seafood__2379799ebe,Cuisine: Seafood,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_sichuan__c16f70696e,attr_behavioral_patterns_and_pref__cuisine_sichuan__c16f70696e,Cuisine: Sichuan,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_southern_soul_food__1561078ae4,attr_behavioral_patterns_and_pref__cuisine_southern_soul_food__1561078ae4,Cuisine: Southern soul food,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_spanish__91aa9bef70,attr_behavioral_patterns_and_pref__cuisine_spanish__91aa9bef70,Cuisine: Spanish,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_spanish_tapas__f74403ba60,attr_behavioral_patterns_and_pref__cuisine_spanish_tapas__f74403ba60,Cuisine: Spanish tapas,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_sushi__5a3784c85d,attr_behavioral_patterns_and_pref__cuisine_sushi__5a3784c85d,Cuisine: Sushi,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_thai__8b950f26dc,attr_behavioral_patterns_and_pref__cuisine_thai__8b950f26dc,Cuisine: Thai,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_turkish__d5543ac2b7,attr_behavioral_patterns_and_pref__cuisine_turkish__d5543ac2b7,Cuisine: Turkish,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_vegan__88cb6dcb51,attr_behavioral_patterns_and_pref__cuisine_vegan__88cb6dcb51,Cuisine: Vegan,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_vegetarian__72e880f73f,attr_behavioral_patterns_and_pref__cuisine_vegetarian__72e880f73f,Cuisine: Vegetarian,true,0,1,72
attr_behavioral_patterns_and_pref__cuisine_vietnamese__5b0d81c0b5,attr_behavioral_patterns_and_pref__cuisine_vietnamese__5b0d81c0b5,Cuisine: Vietnamese,true,0,1,72
attr_behavioral_patterns_and_pref__culinary_persona__a966162ad5,attr_behavioral_patterns_and_pref__culinary_persona__a966162ad5,Culinary Persona,true,0,1,80
attr_behavioral_patterns_and_pref__death_of_spouse_or_partner__f477883983,attr_behavioral_patterns_and_pref__death_of_spouse_or_partner__f477883983,death of spouse or partner,true,0,1,90
attr_behavioral_patterns_and_pref__did_not_go_because_couldn_t_find_anyone_to_go_with__813922e951,attr_behavioral_patterns_and_pref__did_not_go_because_couldn_t_find_anyone_to_go_with__813922e951,did not go because couldn't find anyone to go with,true,0,1,90
attr_behavioral_patterns_and_pref__did_not_go_because_too_dificult_to_get_there__b0c35a5ec7,attr_behavioral_patterns_and_pref__did_not_go_because_too_dificult_to_get_there__b0c35a5ec7,did not go because too dificult to get there,true,0,1,90
attr_behavioral_patterns_and_pref__did_not_go_since_not_of_interest__48f25b4504,attr_behavioral_patterns_and_pref__did_not_go_since_not_of_interest__48f25b4504,did not go since not of interest,true,0,1,90
attr_behavioral_patterns_and_pref__do_you_avoid_single_use_plastics__825e436aaf,attr_behavioral_patterns_and_pref__do_you_avoid_single_use_plastics__825e436aaf,Do you avoid single-use plastics?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_believe_globalization_threatens_your_cultural_t__ca62220f87,attr_behavioral_patterns_and_pref__do_you_believe_globalization_threatens_your_cultural_t__ca62220f87,Do you believe globalization threatens your cultural traditions?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_believe_people_should_adapt_to_the_culture_of_t__43267aef07,attr_behavioral_patterns_and_pref__do_you_believe_people_should_adapt_to_the_culture_of_t__43267aef07,Do you believe people should adapt to the culture of the country they move to?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_consider_yourself_more_of_an_introvert_or_extro__87417e043a,attr_behavioral_patterns_and_pref__do_you_consider_yourself_more_of_an_introvert_or_extro__87417e043a,Do you consider yourself more of an introvert or extrovert?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_consume_content_primarily_in_your_native_langua__46cd62d553,attr_behavioral_patterns_and_pref__do_you_consume_content_primarily_in_your_native_langua__46cd62d553,Do you consume content primarily in your native language?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_feel_proud_of_your_cultural_background__d980d99e89,attr_behavioral_patterns_and_pref__do_you_feel_proud_of_your_cultural_background__d980d99e89,Do you feel proud of your cultural background?,true,0,1,86
attr_behavioral_patterns_and_pref__do_you_feel_represented_in_the_media_you_consume__80dfcdeca9,attr_behavioral_patterns_and_pref__do_you_feel_represented_in_the_media_you_consume__80dfcdeca9,Do you feel represented in the media you consume?,true,0,1,86
