pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__7a72e49ee9cd,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were asian,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8925,0.956,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.956,0.8863,not_related,keep_separate,none,0.95,"Attribute A refers to a general group 'some' people who shopped at the supermarket during childhood, while Attribute B specifies 'Asian' people, a distinct subgroup. They are related but distinct demographic attributes, not duplicates or aliases.",0.9096,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__51d7f4dd2ab4,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were some,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8996,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.887,not_related,keep_separate,none,0.95,"Attribute A refers to a general group 'some' who shopped at the supermarket during childhood, while Attribute B specifies the subgroup 'black' within that group. They are related but distinct demographic attributes, not duplicates or aliases.",0.9098,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__db3381a22ecc,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,percent of people who shopped at the supermarket during childhood who were latin,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.876,0.9625,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9625,0.8788,not_related,keep_separate,none,0.95,"Attributes measure percentages of different racial groups (Latin vs Black) who shopped at the supermarket during childhood; they are distinct demographic attributes, not duplicates or aliases.",0.9056,openai,gpt-4.1-mini
pair_attr_narrative_identity_and_life_per__attr_narrative_identity_and_life_per__afa4f139e614,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,percent of people who shopped at the supermarket during childhood who were asian,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,Narrative Identity & Life History,narrative identity and life history,narrative identity and life history,0.8691,0.975,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.975,0.8782,not_related,keep_separate,none,0.95,"Attributes describe percentages of different ethnic groups (Asian vs Latin) who shopped at the supermarket during childhood; they are distinct demographic variables, not duplicates or aliases.",0.9054,openai,gpt-4.1-mini
pair_attr_demographics_and_population_rel__attr_demographics_and_population_rel__98deb0a0c176,attr_demographics_and_population__relationship_of_person_12_to_spouse_of_househo__d8d2a6fb3c,attr_demographics_and_population__relationship_of_person_1_to_spouse_of_househol__e929c1e777,relationship of person 12 to spouse of househo,relationship of person 1 to spouse of househol,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8714,0.9783,0.7738,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.8899,not_related,keep_separate,none,0.95,Attributes refer to relationships of different persons to spouse of household; distinct entities.,0.913,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__0774cf9d94fd,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_3rd_child__ab3a61d53b,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_7th_child__d306a9bb63,highest schl grade of r 3rd child,highest schl grade of r 7th child,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.9097,0.9091,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.884,not_related,keep_separate,none,0.95,"Attributes measure highest school grade of different children; distinct entities, not same construct.",0.9077,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_r__attr_demographics_and_population_r_r__7450823457f5,attr_demographics_and_population__r_relation_to_r_1st_sibling__cf4f53cad2,attr_demographics_and_population__r_relation_to_r_5th_sibling__e8d3d6fdd0,r relation to r 1st sibling,r relation to r 5th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.902,0.9259,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9259,0.884,not_related,keep_separate,none,0.95,"Relation to different siblings; distinct attributes, not duplicates or aliases.",0.9079,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_mi__attr_life_context_and_constraints_mi__e010be05be3a,attr_life_context_and_constraints__minutes_per_week_using_work_computer_email__36f2446b95,attr_life_context_and_constraints__minutes_per_week_using_work_computer_personal_i__273fe29495,minutes per week using work computer email,minutes per week using work computer personal i,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9141,0.8989,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.8839,not_related,keep_separate,none,0.9,Minutes per week using work computer for different purposes (email vs personal); related but distinct.,0.885,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_did_r__attr_domain_specific_overlays_did_r__601b9b6874fa,attr_domain_specific_overlays__did_r_vote_in_1968_election__e6aa9622f5,attr_domain_specific_overlays__did_r_vote_in_1988_election__a85a57e188,did r vote in 1968 election,did r vote in 1988 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.885,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.8839,not_related,keep_separate,none,0.9,Voting in different election years; related but distinct temporal attributes.,0.8859,openai,gpt-4.1-mini
pair_attr_demographics_and_population_r_6__attr_demographics_and_population_r_7__84cca78e65d4,attr_demographics_and_population__r_6th_sibling_alive__21b50aab3d,attr_demographics_and_population__r_7th_sibling_alive__658ac6d455,r 6th sibling alive?,r 7th sibling alive?,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8907,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8838,not_related,keep_separate,none,0.95,Sibling alive status for different siblings; distinct attributes.,0.9081,openai,gpt-4.1-mini
pair_attr_demographics_and_population_bir__attr_demographics_and_population_bir__b28780d3427d,attr_demographics_and_population__birth_year_of_r_8th_sibling__61cc7c6ecd,attr_demographics_and_population__birth_year_of_r_9th_sibling__ce1b5eeea8,birth year of r 8th sibling,birth year of r 9th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8843,0.963,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.963,0.8835,not_related,keep_separate,none,0.95,Birth year of different siblings; distinct attributes.,0.9082,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_hi__attr_cognitive_and_capability_pro_hi__7cab26a3ea6c,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_3rd_child__ab3a61d53b,attr_cognitive_and_capability_pro__highest_schl_grade_of_r_8th_child__2b237cbf1b,highest schl grade of r 3rd child,highest schl grade of r 8th child,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.9085,0.9091,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.6667,0.8834,not_related,keep_separate,none,0.95,Highest school grade of different children; distinct attributes.,0.9074,openai,gpt-4.1-mini
pair_attr_demographics_and_population_sex__attr_demographics_and_population_sex__fc16cc95cc16,attr_demographics_and_population__sex_of_r_7th_sibling__30f3ed19bc,attr_demographics_and_population__sex_of_r_9th_sibling__0382ac46cc,sex of r 7th sibling,sex of r 9th sibling,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8899,0.95,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.95,0.8834,not_related,keep_separate,none,0.95,Sex of different siblings; distinct attributes.,0.9079,openai,gpt-4.1-mini
