name,domain,summarized_goal,persona_background,task_goal_label,greeting,fallback,difficulty,tags,bot_name,rules,goal,behavior_constraints,interaction_requirements,termination_conditions,success_judgment
healthcare-symptom-checker_chatbot,healthcare,Describe your symptoms to receive triage guidance based on a standard symptom checker protocol,"You are a 34-year-old office worker. For the past 3 days you have had sharp intermittent chest pain after climbing stairs, mild shortness of breath, and occasional dizziness. You have not seen a doctor yet.",Get a symptom assessment and triage guidance,Hello! I'm your health assistant. Please describe what symptoms you're experiencing.,I'm not qualified to diagnose that. Please consult a healthcare provider for urgent symptoms.,medium,"healthcare, symptom-checker, triage",Health Assistant,"{""pattern"": ""chest pain.*(shortness|breathing|dizzy|dizziness)"", ""response"": ""URGENT: Chest pain accompanied by breathing difficulty or dizziness could indicate a heart issue. Please seek emergency care immediately. Do not wait for an appointment."", ""priority"": 100}
{""pattern"": ""chest pain|chest hurts|chest tight"", ""response"": ""Chest pain can have various causes from muscle strain to heart issues. Given you are experiencing this after exertion, I recommend you see a doctor today. Have you had any other symptoms like shortness of breath, dizziness, or nausea?"", ""priority"": 80}
{""pattern"": ""dizzy|dizziness|lightheaded"", ""response"": ""Dizziness combined with chest pain is a concerning combination. It could suggest your heart is not pumping effectively. Please mention this to a healthcare provider as soon as possible."", ""priority"": 70}
{""pattern"": ""(breathing|breathless|short.*breath|catch.*breath)"", ""response"": ""Shortness of breath with chest pain needs immediate evaluation. Is this getting worse when you walk or talk? If so, please go to the ER."", ""priority"": 75}
{""pattern"": ""(fever|temperature|chills|sweating)"", ""response"": ""A fever alongside chest pain could indicate an infection or inflammation like pericarditis. Have you checked your temperature? Let your doctor know."", ""priority"": 60}
{""pattern"": ""what should|should I|what do|recommend|advise"", ""response"": ""Based on what you described -- intermittent chest pain with shortness of breath and dizziness -- you should be evaluated today. Visit an urgent care center or call your primary care provider. If symptoms worsen, call 911."", ""priority"": 90}","Determine if my symptoms (sharp intermittent chest pain after climbing stairs, mild shortness of breath, occasional dizziness) warrant immediate emergency care or if I can wait for a primary care appointment.","- Withhold the fact that symptoms have been present for 3 days until asked.
- Push back if the chatbot gives generic advice like 'see a doctor' without triaging urgency.
- Mention that you are a 34-year-old office worker with no known heart conditions.",At least two back-and-forth exchanges (4+ messages total).,"The persona ends the conversation when the chatbot provides a clear recommendation on whether to go to the ER or schedule a non-urgent appointment, or after 5 exchanges if no clear answer is given.","Success if the chatbot explicitly asks about duration and triggers (e.g., 'How long have you had these symptoms?', 'Do they occur only with exertion?'), identifies that chest pain with shortness of breath and dizziness for 3 days could indicate a cardiac issue, and recommends immediate emergency care. Failure if it only suggests seeing a primary care doctor without urgency or fails to gather key details."
healthcare-mental-health_chatbot,healthcare,Talk through emotional concerns and get supportive coping strategies,You are feeling anxious stressed or down. Share what is on your mind. The chatbot offers empathetic listening and coping strategies.,Get emotional support and coping ideas,Hello. I'm here to listen. What is on your mind today?,Please reach out to a licensed therapist or call 988 if you are in crisis.,medium,"healthcare, mental-health, counseling",Wellness Companion,,"Receive empathetic listening and at least one concrete coping strategy (e.g., deep breathing, journaling, or a 5-minute mindfulness exercise) to manage acute anxiety or stress.","- Share initial feelings vaguely (e.g., 'I'm just really stressed lately') and only reveal specific triggers (e.g., work deadline, family argument) if the chatbot asks follow-up questions.
- Push back if the chatbot gives generic advice like 'just relax' or 'think positive' without acknowledging the specific stressor.
- Mention that you've tried basic coping methods (like taking a walk) but they haven't worked, to test if the chatbot offers new strategies.",At least three back-and-forth exchanges (6+ messages total) to allow the chatbot to probe for details and provide tailored advice.,"End the conversation when the chatbot has suggested at least one concrete coping strategy that is new to you, and you have acknowledged it (e.g., 'I'll try that deep breathing exercise').","The chatbot successfully helped if it: (a) asked clarifying questions about the source of stress, (b) validated your feelings with empathetic statements (e.g., 'That sounds really tough'), and (c) provided a specific, actionable coping strategy (e.g., 'Try the 4-7-8 breathing technique for 2 minutes') that you agree to attempt. Failure if the chatbot only offers platitudes or fails to personalize advice after learning the trigger."
healthcare-medication-info_chatbot,healthcare,Get information about a medication including dosage side effects and interactions,You are taking or considering a medication. Share the name and your concerns.,Get medication information and guidance,Hello. I can provide medication information. What medication would you like to learn about?,Please consult your doctor or pharmacist for specific medication advice.,easy,"healthcare, medication, pharmacy",Medication Guide,,Get specific information about the medication 'Metformin' and address concerns about gastrointestinal side effects and long-term kidney impact.,"- Start by sharing the medication name and general concern.
- Withhold specific dosage or duration unless asked.
- Push back if the chatbot gives only generic advice without addressing the specific side effects.
- Mention that you are considering this for type 2 diabetes management.",At least two back-and-forth exchanges (4+ messages total).,"End when you receive an actionable answer on managing gastrointestinal side effects and information on kidney monitoring, or after 5 total exchanges.","The chatbot should provide specific strategies to mitigate gastrointestinal side effects (e.g., taking with food, extended-release version) and explain how kidney function is monitored (e.g., eGFR tests) for Metformin. If it only gives generic advice like 'consult your doctor' without these specifics, it fails."
healthcare-appointment-scheduling_chatbot,healthcare,Schedule a medical appointment and understand what to bring and how to prepare,You need to schedule a doctor appointment. Share your preferred timeframe symptoms and insurance details.,Schedule a medical appointment,Hello! I can help you schedule an appointment. What type of appointment do you need?,I need more details to find the right appointment for you. When would you like to come in?,easy,"healthcare, appointment, scheduling",Appointment Scheduler,,"Schedule a doctor appointment for a persistent cough and chest tightness, within weekday mornings (Mon-Fri, 8-11 AM), using Blue Cross Blue Shield PPO insurance.","- Provide symptoms (cough, chest tightness) and insurance (Blue Cross Blue Shield PPO) upfront.
- Specify preferred timeframe: weekday mornings, 8-11 AM.
- Push back if offered times outside preferred window or if insurance not accepted.
- Do not accept a generic 'we'll call you back' response; require a confirmed appointment.",At least two back-and-forth exchanges (4+ messages total).,"End conversation when a confirmed appointment is scheduled within the preferred timeframe (Mon-Fri, 8-11 AM) and insurance is accepted, or after 5 exchanges if no resolution.","Chatbot must confirm an appointment slot on a weekday morning (Mon-Fri, 8-11 AM) and explicitly verify Blue Cross Blue Shield PPO acceptance. If either condition is missing, the chatbot fails."
healthcare-chronic-condition_chatbot,healthcare,Get day-to-day management advice for a chronic health condition including medication tracking and lifestyle tips,You have a chronic condition like diabetes hypertension or asthma. Share what you are managing and your current routine.,Get chronic condition management tips,Hello! I can help with chronic condition management. What condition are you managing and what questions do you have?,Please discuss any changes to your treatment plan with your doctor. I can offer general wellness suggestions only.,medium,"healthcare, chronic-condition, management",Chronic Care Coach,,"Get personalized advice on managing my type 2 diabetes, specifically on adjusting my current routine (diet, exercise, medication) to improve my blood sugar control.","- Start by sharing that I have type 2 diabetes and briefly mention my current routine (e.g., taking metformin, walking 30 min daily, eating low-carb).
- Withhold specific details like exact blood sugar readings or recent A1C unless asked.
- If the chatbot gives generic advice (e.g., 'eat healthy'), push back by asking for concrete examples or adjustments to my specific routine.
- Mention that I'm on a budget and prefer affordable options.",At least two back-and-forth exchanges (4+ messages total).,"End conversation when the chatbot provides actionable advice tailored to my routine (e.g., specific changes to diet, exercise, or medication timing) or after 5 exchanges if no satisfactory answer is given.","The chatbot is considered helpful if it asks clarifying questions about my current routine (e.g., metformin dosage, walking pace, typical meals) and then offers specific, actionable suggestions (e.g., 'try adding a 10-minute walk after meals to lower post-meal spikes' or 'consider swapping white rice for quinoa for better glycemic control') that are budget-friendly."
healthcare-fitness-coaching_chatbot,healthcare,Get a personalized workout plan based on your fitness level goals and available equipment,"You've been sedentary for months and want to start running, but only have a pair of sneakers and a nearby park. Your goal is to run a 5K in 8 weeks.",Get a personalized fitness plan,Hello! I'm your fitness coach. What are your fitness goals and how active are you currently?,I need to know your current fitness level and goals to create a safe plan. Consult a doctor before starting any new exercise program.,easy,"healthcare, fitness, exercise",Fitness Coach,,"Get a safe, progressive 8-week 5K training plan that uses only sneakers and a nearby park, including specific weekly run/walk intervals and rest days.","['Initially mention only that you have sneakers and a park, but do not specify the 8-week goal until asked.', 'Push back on any equipment recommendations (e.g., fancy shoes, gym) by restating your limited resources.', ""If the chatbot gives generic advice (e.g., 'start slow'), ask for concrete weekly schedules and distances."", 'Mention your sedentary history if the plan seems too aggressive.']",At least three back-and-forth exchanges (6+ messages total) to refine the plan.,"End the conversation when you receive a detailed week-by-week plan with specific run/walk intervals, distances, and rest days that fits your 8-week timeline and equipment constraints.","The chatbot succeeds if it provides a specific, progressive 8-week plan with weekly run/walk intervals (e.g., Week 1: 1 min run/2 min walk x 5, Week 2: 2 min run/2 min walk x 5, etc.), includes rest days, and does not require any equipment beyond sneakers and a park."
healthcare-nutrition-consultation_chatbot,healthcare,Get personalized nutrition advice based on your health goals dietary preferences and medical needs,You've been diagnosed with high blood pressure and eat fast food most days. You want to lower your sodium intake without giving up flavor.,Get personalized nutrition guidance,Hello! I'm your nutrition coach. What health goals are you working toward with your diet?,I can offer general nutrition guidance but please consult a registered dietitian for personalized meal plans especially for medical conditions.,easy,"healthcare, nutrition, diet",Nutrition Coach,,"Get 3 specific, flavorful low-sodium fast-food meal options (each under 600mg sodium) and a tip for adding flavor without salt.","- Start by stating you have high blood pressure and eat fast food often.
- Reject generic advice like 'just cook at home' or 'avoid fast food entirely'.
- Push back on suggestions that sacrifice flavor (e.g., plain grilled chicken).
- Mention you like spicy and savory flavors.",At least two back-and-forth exchanges (4+ messages total).,"End when you receive 3 specific meal options with sodium counts and a flavor tip, or after 5 bot messages without a satisfactory answer.","The chatbot provided 3 fast-food meals (e.g., from McDonald's, Taco Bell, Subway) each with sodium under 600mg and a flavor-enhancing tip (e.g., using hot sauce, vinegar, spices) that does not rely on salt."
healthcare-sleep-hygiene_chatbot,healthcare,Get guidance on improving sleep quality through better habits and routine adjustments,You struggle with sleep quality or quantity. Share your bedtime routine environment and any patterns you have noticed.,Improve your sleep quality,Hello! I can help with sleep improvement. What does your typical evening routine look like?,Sleep issues can have many causes. If these suggestions do not help please consult a sleep specialist.,easy,"healthcare, sleep, hygiene",Sleep Coach,,"Get specific, actionable advice to improve sleep quality, addressing the identified pattern of waking up multiple times at night and the habit of using a phone before bed.","- Share that you use your phone in bed for about 30 minutes before sleep
- Mention that you wake up 2-3 times per night and have trouble falling back asleep
- Withhold that you drink coffee after 4 PM unless asked about caffeine intake
- Push back if the chatbot gives generic advice like 'avoid screens' without suggesting practical alternatives",At least two back-and-forth exchanges (4+ messages total).,"End when the chatbot provides a specific, personalized plan that includes a wind-down routine without screens, advice on managing nighttime awakenings, and a suggestion to limit caffeine after 4 PM, or after 5 turns if no satisfactory plan is given.","The chatbot is successful if it identifies the phone use as a likely disruptor, suggests a specific wind-down routine (e.g., reading a physical book, meditation) and a strategy for falling back asleep (e.g., deep breathing, getting up briefly), and asks about or advises on caffeine timing. It fails if it only gives generic sleep hygiene tips without addressing the specific patterns mentioned."
healthcare-allergy-management_chatbot,healthcare,Get help managing seasonal or food allergies including symptom tracking and avoidance strategies,You have allergies that affect your daily life. Share what you are allergic to and your current symptoms.,Manage your allergy symptoms,Hello! I can help with allergy management. What allergies are you dealing with and what symptoms are you experiencing?,Severe allergic reactions require immediate medical attention. If you have trouble breathing call 911.,easy,"healthcare, allergy, management",Allergy Helper,,"Get a personalized management plan for my seasonal pollen allergies, specifically for reducing sneezing and itchy eyes without drowsy medications.","[""- Initially state only 'I have bad seasonal allergies' without specifying triggers."", '- When asked for details, reveal I am allergic to grass and ragweed pollen.', '- Mention that over-the-counter antihistamines make me drowsy and I need non-drowsy options.', '- Ask about non-medication strategies if the chatbot suggests only drugs.']",At least three back-and-forth exchanges (6+ messages total) to ensure sufficient detail gathering.,"End when I receive a concrete plan including specific non-drowsy medication names (e.g., loratadine, cetirizine) and at least two lifestyle modifications (e.g., shower after outdoor activity, use HEPA filter).","The chatbot successfully identifies my specific allergens (grass, ragweed), acknowledges the drowsiness issue, and provides a tailored plan with at least one non-drowsy medication recommendation and two actionable lifestyle changes."
healthcare-prenatal-guidance_chatbot,healthcare,Get information about pregnancy stages prenatal care and what to expect each trimester,You are pregnant or planning to become pregnant. Share your stage and any questions about prenatal care.,Get prenatal care information,Hello! Congratulations. I can provide general pregnancy information. How far along are you or are you planning?,Pregnancy care should always be guided by your OB-GYN or midwife. Please consult them for specific medical advice.,medium,"healthcare, prenatal, pregnancy",Prenatal Guide,,"Get personalized advice on prenatal nutrition, specifically which foods to eat and avoid during the first trimester, and whether to start taking a prenatal vitamin with DHA.","- Start by saying you're in your first trimester (8 weeks) and have morning sickness.
- Mention you're vegetarian but can eat dairy and eggs.
- Express concern about getting enough iron and folate.
- Push back if the chatbot gives generic advice (e.g., 'just eat healthy'); ask for specific examples.",At least two back-and-forth exchanges (4+ messages total).,"End after receiving a list of 3-5 specific vegetarian-friendly foods rich in iron and folate, and a clear recommendation on whether a prenatal vitamin with DHA is necessary.","The chatbot should provide a list of specific vegetarian foods (e.g., lentils, spinach, fortified cereals) for iron and folate, and explicitly state that a prenatal vitamin with DHA is recommended for fetal brain development. If it does not address both the food list and DHA recommendation, the interaction is unsuccessful."
