node_id,node_type,label,category,subcategory,size,node_weight,evidence_weight,weight_basis,quality_tier,source_count
cat::behavioral_patterns_and_preferences,category,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,,339,6.8289,,log scaled number of attributes in category,,
cat::cognitive_and_capability_profile,category,Cognitive & Capability Profile,Cognitive & Capability Profile,,337,6.823,,log scaled number of attributes in category,,
cat::demographics_and_population_grounding,category,Demographics & Population Grounding,Demographics & Population Grounding,,1067,7.9735,,log scaled number of attributes in category,,
cat::domain_specific_overlays,category,Domain-Specific Overlays,Domain-Specific Overlays,,636,7.4568,,log scaled number of attributes in category,,
cat::life_context_and_constraints,category,Life Context & Constraints,Life Context & Constraints,,1839,8.5175,,log scaled number of attributes in category,,
cat::narrative_identity_and_life_history,category,Narrative Identity & Life History,Narrative Identity & Life History,,19,3.9957,,log scaled number of attributes in category,,
cat::personality_traits,category,Personality Traits,Personality Traits,,3670,9.2082,,log scaled number of attributes in category,,
cat::social_identity_relationships_and_community,category,"Social Identity, Relationships & Community","Social Identity, Relationships & Community",,229,6.4381,,log scaled number of attributes in category,,
cat::values_goals_and_motivations,category,"Values, Goals & Motivations","Values, Goals & Motivations",,242,6.4931,,log scaled number of attributes in category,,
cat::worldview_beliefs_and_attitudes,category,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",,1126,8.0273,,log scaled number of attributes in category,,
subcat::behavioral_patterns_and_preferences::behavioral_patterns_and_preferences,subcategory,behavioral patterns and preferences,Behavioral Patterns & Preferences,behavioral patterns and preferences,301,6.3104,,log scaled number of attributes in subcategory,,
subcat::behavioral_patterns_and_preferences::interests_and_preferences,subcategory,interests and preferences,Behavioral Patterns & Preferences,interests and preferences,6,2.5459,,log scaled number of attributes in subcategory,,
subcat::behavioral_patterns_and_preferences::interests_and_topics,subcategory,interests and topics,Behavioral Patterns & Preferences,interests and topics,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::behavioral_patterns_and_preferences::sociodemographic_behavior,subcategory,sociodemographic behavior,Behavioral Patterns & Preferences,sociodemographic behavior,31,4.0657,,log scaled number of attributes in subcategory,,
subcat::cognitive_and_capability_profile::cognitive_and_capability_profile,subcategory,cognitive and capability profile,Cognitive & Capability Profile,cognitive and capability profile,325,6.3869,,log scaled number of attributes in subcategory,,
subcat::cognitive_and_capability_profile::education_language_and_field_of_training,subcategory,education language and field of training,Cognitive & Capability Profile,education language and field of training,9,2.9026,,log scaled number of attributes in subcategory,,
subcat::cognitive_and_capability_profile::need_for_cognition,subcategory,need for cognition,Cognitive & Capability Profile,need for cognition,1,1.2931,,log scaled number of attributes in subcategory,,
subcat::cognitive_and_capability_profile::skills_and_expertise,subcategory,skills and expertise,Cognitive & Capability Profile,skills and expertise,2,1.6986,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::core_demographics_race_ethnicity_citizenship_nativity_and_ancestry,subcategory,core demographics race ethnicity citizenship nativity and ancestry,Demographics & Population Grounding,core demographics race ethnicity citizenship nativity and ancestry,16,3.4332,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::demographic_information,subcategory,demographic information,Demographics & Population Grounding,demographic information,12,3.1649,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::demographic_variables,subcategory,demographic variables,Demographics & Population Grounding,demographic variables,1018,7.5266,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::geographic_anchoring,subcategory,geographic anchoring,Demographics & Population Grounding,geographic anchoring,4,2.2094,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::household_composition_and_household_language,subcategory,household composition and household language,Demographics & Population Grounding,household composition and household language,11,3.0849,,log scaled number of attributes in subcategory,,
subcat::demographics_and_population_grounding::nemotron_demographic_and_geographic_fields,subcategory,nemotron demographic and geographic fields,Demographics & Population Grounding,nemotron demographic and geographic fields,6,2.5459,,log scaled number of attributes in subcategory,,
subcat::domain_specific_overlays::career_and_professional_identity,subcategory,career and professional identity,Domain-Specific Overlays,career and professional identity,4,2.2094,,log scaled number of attributes in subcategory,,
subcat::domain_specific_overlays::professional_identity,subcategory,professional identity,Domain-Specific Overlays,professional identity,4,2.2094,,log scaled number of attributes in subcategory,,
subcat::domain_specific_overlays::professional_identity_and_career,subcategory,professional identity and career,Domain-Specific Overlays,professional identity and career,10,2.9979,,log scaled number of attributes in subcategory,,
