pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model
pair_attr_life_context_and_constraints_a__attr_life_context_and_constraints_a__45e107116bfc,attr_life_context_and_constraints__a_woman_won_t_get_a_job_or_promotion_no_volunteered_re__4d28c13fd7,attr_life_context_and_constraints__a_woman_won_t_get_a_job_or_promotion_with_volunteered__613245e245,a woman won't get a job or promotion (no volunteered response on web),a woman won't get a job or promotion (with volunteered response on web),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9189,0.9571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9571,0.9011,alias_of,merge,symmetric,0.95,"Both attributes describe the same concept with the only difference being the source of the response (volunteered or not), making them aliases.",0.9177,openai,gpt-4.1-mini
pair_attr_demographics_and_population_did__attr_demographics_and_population_did__5fe9b5d086de,attr_demographics_and_population__did_partner_work_outside_home_after_child_started_scho__afb6fb9931,attr_demographics_and_population__did_r_work_outside_home_after_child_started_school__3419750b85,did partner work outside home after child started school,did r work outside home after child started school,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8979,0.9434,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9434,0.8861,alias_of,merge,symmetric,0.95,"Both attributes refer to the same concept of whether the partner (r) worked outside the home after the child started school, differing only in label wording.",0.9093,openai,gpt-4.1-mini
pair_attr_behavioral_patterns_and_pref_r__attr_behavioral_patterns_and_pref_r__4dd22491c983,attr_behavioral_patterns_and_pref__r_send_or_receive_to_or_from_family_members_at__484d296afd,attr_behavioral_patterns_and_pref__r_send_or_receive_to_or_from_other_family_members__aed5f63ddc,r send or receive to or from family members at,r send or receive to or from other family members,Behavioral Patterns & Preferences,Behavioral Patterns & Preferences,behavioral patterns and preferences,behavioral patterns and preferences,0.9038,0.9053,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.8798,alias_of,merge,symmetric,0.95,"Both attributes describe the same behavior of sending or receiving to/from family members, with 'other family members' being a likely restatement or alias of 'family members' in this context.",0.9054,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_to__attr_life_context_and_constraints_to__ebb84a073224,attr_life_context_and_constraints__total_person_s_earnings_use_adjinc_to_adjust_to_consta__156774fc0f,attr_life_context_and_constraints__total_person_s_income_use_adjinc_to_adjust_to_constant__9289ef986d,Total person's earnings (use ADJINC to adjust to constant dollars),Total person's income (use ADJINC to adjust to constant dollars),Life Context & Constraints,Life Context & Constraints,employment work hours occupation industry and income,employment work hours occupation industry and income,0.8969,0.9231,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9231,0.8805,alias_of,merge,symmetric,0.95,"The attributes differ only in wording 'earnings' vs 'income' but both refer to total personal monetary amount adjusted by ADJINC, indicating they are aliases.",0.906,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__e46f120bd221,attr_life_context_and_constraints__x_family_should_be_ashamed_to_receive_govt_assistance__1639fcfa1f,attr_life_context_and_constraints__x_should_be_ashamed_to_receive_govt_assistance__f2b494ef6d,x family should be ashamed to receive govt assistance,x should be ashamed to receive govt assistance,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8915,0.9293,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9293,0.8791,alias_of,merge,symmetric,0.95,Both attributes express the same concept with minor lexical variation; one includes 'family' explicitly but the meaning is equivalent.,0.9053,openai,gpt-4.1-mini
pair_attr_demographics_and_population_did__attr_demographics_and_population_did__7af958b80192,attr_demographics_and_population__did_partner_work_outside_home_with_child_under_school__6d80d8d254,attr_demographics_and_population__did_r_work_outside_home_with_child_under_school_age__1f31c9c8e4,did partner work outside home with child under school age,did r work outside home with child under school age,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8753,0.9444,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9444,0.8739,alias_of,merge,symmetric,0.95,"Both attributes refer to the same concept of whether the partner (did) or respondent (r) worked outside home with a child under school age, differing only in label but semantically equivalent.",0.9027,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_x__e08ec8342249,attr_life_context_and_constraints__how_likely_x_is_experiencing_normal_ups_and_downs_of_l__3e43fd541c,attr_life_context_and_constraints__x_is_experiencing_normal_ups_and_downs_of_life__b630ffe333,how likely x is experiencing normal ups-and-downs of life,x is experiencing normal ups-and-downs of life,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8885,0.8932,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8333,0.8684,alias_of,merge,symmetric,0.95,Both attributes describe the same concept of experiencing normal ups-and-downs of life with only minor lexical differences.,0.899,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_su__attr_life_context_and_constraints_su__9ebabdd5acbc,attr_life_context_and_constraints__subjective_class_identification_2021__1207c0c0fd,attr_life_context_and_constraints__subjective_class_identification__ea33382c54,subjective class identification (2021),subjective class identification,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8487,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.8732,alias_of,merge,symmetric,0.95,"Both attributes represent the same concept 'subjective class identification', with one including a year suffix (2021) indicating a version or time-specific variant, effectively aliases.",0.9031,openai,gpt-4.1-mini
pair_attr_domain_specific_overlays_rate_o__attr_domain_specific_overlays_rate_o__65a707fb0753,attr_domain_specific_overlays__rate_of_ba_degree_earning_at_college_partner_attended__e97b969810,attr_domain_specific_overlays__rate_of_ba_degree_earning_in_college_respondent_attend__654a86cdd2,rate of ba degree earning at college partner attended,rate of ba degree earning in college respondent attended,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.9073,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8571,0.8697,alias_of,merge,symmetric,0.95,"Both attributes describe the same concept: the rate of BA degree earning at the college the respondent attended, differing only slightly in wording without changing meaning.",0.8992,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__41efa588af76,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups2__973c5ce62d,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups3__909a069379,how many years r born a member of youth groups2,how many years r born a member of youth groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9672,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.933,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9354,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__850e50c98d7f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__01ebf4a3bd,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_professional_society__608868606e,how many years r born a member of professional society1,how many years r born a member of professional society2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9646,0.9818,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9818,0.9324,duplicate_of,merge,symmetric,0.95,"The two attributes have nearly identical labels, categories, subcategories, and definitions, differing only by a trailing digit, indicating they are duplicates.",0.9351,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__05e468b24638,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization1__347d5dcf2f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization2__41a1a2e70e,how many years r born a member of farm organization1,how many years r born a member of farm organization2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9736,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.9371,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, subcategories, and definitions, indicating they are aliases.",0.9376,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__b1776a9d8170,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups1__4c6e3efcd1,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,how many years r been a member of veteran groups1,how many years r been a member of veteran groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9692,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.9344,duplicate_of,merge,symmetric,0.95,"Both attributes have nearly identical labels and definitions differing only by a trailing digit, indicating they represent the same persona attribute.",0.9361,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__414ca1e912b7,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity1__132b338949,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_fraternity2__9cfcae3a23,how many years r born a member of school fraternity1,how many years r born a member of school fraternity2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9734,0.9808,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9808,0.937,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have nearly identical labels, categories, subcategories, and definitions, indicating they are aliases.",0.9376,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__270fe291f58e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups1__e0b21d60d6,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups2__973c5ce62d,how many years r born a member of youth groups1,how many years r born a member of youth groups2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9698,0.9787,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9787,0.9345,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases or duplicates.",0.9362,openai,gpt-4.1-mini
pair_attr_cognitive_and_capability_pro_no__attr_cognitive_and_capability_pro_no__bf979e55e85c,attr_cognitive_and_capability_pro__non_college_postsecondary_education_voednme1__550646f506,attr_cognitive_and_capability_pro__non_college_postsecondary_education_voednme2__a75ad37222,non-college postsecondary education (voednme1),non-college postsecondary education (voednme2),Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.9831,0.9783,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9783,0.9417,alias_of,merge,symmetric,0.95,"Both attributes represent the same concept of non-college postsecondary education from the same source with only version differences, indicating they are aliases.",0.9401,openai,gpt-4.1-mini
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__727088724948,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups2__5b14c4478e,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_veteran_groups3__9007af9518,how many years r been a member of veteran groups2,how many years r been a member of veteran groups3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.9686,0.9796,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_duplicate,0.9796,0.934,alias_of,merge,symmetric,0.95,"The two attributes differ only by a trailing digit and have very high lexical and embedding similarity, indicating they are aliases of the same persona attribute.",0.936,openai,gpt-4.1-mini
